id;building;year;retrofit;construction_type;night_setback;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV;ec_charging;consumption
91;MFH;2010;2;0;0;3500;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;222470.5
92;MFH;1911;2;0;0;2529;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;332563.5
93;MFH;2012;2;0;0;1035;HP;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;137991.93
94;MFH;1907;2;0;0;1909;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;251033.5
95;MFH;1960;2;0;0;344;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;39732.0
96;MFH;1918;2;0;0;1625;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;213687.5
97;MFH;1951;2;0;0;400;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;56120.00000000001
98;MFH;1929;2;0;0;287;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;207255.6514
99;MFH;1926;2;0;0;1971;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;221543.08533333332
100;MFH;1957;2;0;0;2551;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;674038.7442333333
101;MFH;1999;2;0;0;2169;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;197595.9
102;MFH;1954;2;0;0;1000;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;54175.35633333334
103;MFH;1900;2;0;0;1436;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;188834.0
104;MFH;2012;2;0;0;1182;HP;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;94564.52
105;MFH;1951;2;0;0;2854;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;400416.2
106;MFH;1918;2;0;0;980;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;128870.0
107;MFH;1938;2;0;0;2927;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;353622.9413333333
108;MFH;1905;2;0;0;3132;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;418656.5557666666
109;MFH;1918;2;0;0;2353;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;309419.5
110;MFH;1974;2;0;0;1282;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;173531.448
111;MFH;1931;2;0;0;8336;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;650478.2816666666
112;MFH;1960;2;0;0;2269;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;339874.0966666667
113;MFH;1952;2;0;0;2861;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;121499.65875
114;MFH;1920;2;0;0;198;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;29957.4
115;MFH;1905;2;0;0;1318;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;173317.0
116;MFH;1907;2;0;0;2807;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;347226.6643333334
117;MFH;1934;2;0;0;708;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;79671.7842
118;MFH;1910;2;0;0;2404;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;338063.721
119;MFH;1910;2;0;0;653;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;85869.5
120;MFH;1909;2;0;0;1837;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;241565.5
121;MFH;1908;2;0;0;927;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;121900.5
122;MFH;1955;2;0;0;1041;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;34266.609300000004
123;MFH;1905;2;0;0;1027;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;135050.5
124;MFH;1905;2;0;0;2774;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;364781.0
125;MFH;1935;2;0;0;12006;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1685511.4822333332
126;MFH;1934;2;0;0;2419;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;365994.7
127;MFH;1958;2;0;0;930;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;102449.0805
128;MFH;1900;2;0;0;1507;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;198170.5
129;MFH;1978;2;0;0;290;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;173814.51525
130;MFH;1941;2;0;0;2809;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;499572.60375
131;MFH;1912;2;0;0;3003;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;243330.08225000004
132;MFH;1905;2;0;0;1338;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;175947.0
133;MFH;1955;2;0;0;23;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;3226.9
134;MFH;1960;2;0;0;1404;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;162162.0
135;MFH;1906;2;0;0;1469;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;61050.58750000001
136;MFH;2012;2;0;0;857;HP;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;131375.39
137;MFH;2022;2;0;0;545;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;93742.05776666668
138;MFH;1911;2;0;0;900;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;136187.03
