Zip	T_me	T_ne	Zone	Altitude	Latitude	Longitude
83707	6.5	-15.3	15	1114	47.7166716	11.7199081
48143	11.3	-7.9	5	65	51.9630088	7.626755199999999
72406	8.8	-12.0	6	562	48.3012826	8.9406305
73275	9.7	-11.3	6	384	48.6515584	9.5332619
89177	8.5	-12.7	13	555	48.5543517	10.0800317
91465	9.2	-12.2	13	369	49.5107372	10.3279599
25770	9.2	-9.2	1	2	54.147245	9.0721702
83301	8.6	-12.9	13	525	47.9527301	12.5768605
13593	9.6	-12.7	4	42	52.5186392	13.169637
73104	9.4	-11.8	6	419	48.7541808	9.6326064
07980	9.3	-13.7	9	223	50.744301	12.1467408
04613	9.6	-13.1	4	159	51.0947046	12.3326989
97348	9.8	-11.4	13	252	49.6837802	10.2391664
94536	7.2	-13.5	10	642	48.8893605	13.2995547
02828	9.0	-14.4	9	217	51.1614467	14.9740736
66879	9.7	-10.1	6	314	49.45599680000001	7.5281781
56133	9.9	-9.6	7	258	50.3394481	7.6894772
72218	9.3	-11.7	6	451	48.63690940000001	8.7676952
78669	8.5	-12.3	14	637	48.14711339999999	8.6993673
35469	9.4	-11.2	7	198	50.6833234	8.826840299999999
33739	9.7	-10.1	6	142	52.0848649	8.5283
17153	9.1	-12.7	4	71	53.6689198	12.9307588
04889	9.6	-13.1	4	114	51.4565018	12.9272771
84364	9.1	-12.5	13	359	48.4480634	13.0671849
92676	8.4	-13.7	10	420	49.764187	11.8224165
73278	9.8	-11.2	6	355	48.6722832	9.5273927
95704	7.2	-14.3	10	629	49.9301126	11.9992931
06112	9.9	-13.5	4	96	51.46761309999999	11.995423
99510	9.3	-13.1	9	209	51.0110833	11.5004392
48317	10.2	-9.5	5	62	51.7999168	7.7224294
72401	9.0	-12.0	6	515	48.3715775	8.8114911
24106	9.5	-7.9	2	19	54.3579391	10.1211182
96269	8.8	-12.0	13	330	50.1760039	10.9510331
83703	7.6	-14.1	15	753	47.750651	11.7370649
56346	9.6	-10.0	7	309	50.1922456	7.685738199999999
59227	10.2	-9.7	5	75	51.7891354	7.8843043
65626	10.1	-9.6	7	167	50.3552824	7.996966499999999
56637	10.6	-9.1	5	108	50.3880153	7.3861772
88515	7.8	-13.2	14	719	48.1486177	9.3778475
76676	11.0	-9.9	12	108	49.1465388	8.4644509
90518	8.8	-13.6	13	427	49.3860138	11.376417
01465	9.5	-13.9	9	209	51.1260965	13.8417809
02799	7.7	-15.4	10	479	50.8689884	14.6497109
97222	9.2	-11.7	13	333	49.8524481	9.9596731
29581	9.2	-12.0	3	59	52.9655347	10.4250341
07389	8.1	-14.6	10	468	50.6620052	11.5675723
85464	8.7	-13.7	13	488	48.2160595	11.8246279
94342	9.0	-13.8	13	325	48.8334311	12.724474
94339	8.7	-13.9	13	392	48.7730144	12.5327868
86672	8.7	-14.0	13	470	48.553582	10.9113423
97493	9.7	-11.4	13	212	50.0005485	10.1656347
35792	9.4	-11.1	7	217	50.51103209999999	8.270443
01996	9.5	-14.4	4	118	51.4550595	14.0256589
91710	9.1	-13.1	13	426	49.1200802	10.7318864
85630	8.4	-13.9	13	558	48.0864201	11.7517416
82544	8.1	-14.3	13	646	47.9310826	11.5034424
34266	9.1	-11.6	7	220	51.3172513	9.5867862
66877	10.1	-9.8	6	240	49.4329335	7.5759509
26689	9.6	-9.3	3	0	53.2006565	7.794635700000001
31789	9.9	-10.8	7	65	52.0903623	9.3516655
19336	9.4	-12.5	4	28	52.9499295	11.960024
63571	10.0	-10.8	12	210	50.2199157	9.2226512
65479	10.9	-9.8	12	91	50.0131171	8.4725974
68753	11.0	-10.0	12	104	49.2244562	8.5136343
84164	8.6	-13.8	13	411	48.6758459	12.489297
93453	7.7	-13.3	10	539	49.2536704	13.0014291
53498	10.1	-9.3	5	217	50.4991766	7.2716486
24885	8.9	-8.7	3	33	54.6399713	9.4646876
89186	8.6	-13.1	13	546	48.270349	10.0518802
89542	8.7	-12.4	14	523	48.6214032	10.1768709
97259	9.1	-11.8	13	354	49.8236107	9.7587247
89353	8.8	-13.4	13	460	48.4970043	10.4897568
38644	8.8	-12.9	6	324	51.8859286	10.4537523
59065	10.8	-9.0	5	65	51.6905221	7.8117261
64646	10.1	-10.4	6	264	49.6430169	8.6675419
35796	9.6	-10.8	7	199	50.4352361	8.3015841
67069	11.3	-10.2	12	94	49.5249092	8.3910962
74532	9.1	-12.3	13	442	49.1522704	9.9214447
63599	8.5	-11.9	12	443	50.1620049	9.2974301
87616	7.6	-14.6	15	764	47.7582597	10.6072487
94439	8.6	-12.6	13	447	48.5994658	12.9409109
12527	9.5	-13.3	4	45	52.3921615	13.629115
65558	9.7	-10.1	7	258	50.354902	8.0486556
53547	10.0	-9.4	5	251	50.5651574	7.380596199999999
79395	10.9	-9.9	12	218	47.835518	7.5755135
69488	10.6	-10.5	6	170	49.5629629	8.7084502
98704	8.1	-13.9	10	453	50.6719472	10.9798093
44579	10.6	-8.3	5	57	51.578678	7.287848200000001
53804	10.1	-9.4	6	214	50.8931596	7.394836199999999
54457	10.0	-9.2	7	275	49.6086487	6.4278568
35753	8.7	-11.1	6	385	50.6059658	8.245615599999999
75382	8.9	-11.8	6	525	48.731178	8.7906982
85764	8.8	-13.8	13	483	48.24764260000001	11.5544353
90552	9.3	-13.6	13	339	49.48182689999999	11.2389749
97956	9.4	-11.6	13	314	49.671024	9.6413783
88048	9.8	-9.7	13	452	47.6969454	9.496915
34302	8.9	-11.8	7	265	51.2075463	9.5071554
34253	9.2	-11.2	7	220	51.266966	9.5554487
26683	9.6	-9.5	3	4	53.0767864	7.702199499999999
40474	11.1	-7.9	5	33	51.2738092	6.7421871
54332	9.7	-9.6	7	348	49.7067546	6.5400139
36277	8.5	-12.6	7	342	50.8192028	9.8087534
22848	9.2	-10.0	3	18	53.6650949	9.9588669
97320	10.1	-11.1	13	199	49.7720261	10.1520706
99192	8.9	-13.4	9	289	50.9105544	10.9151181
91189	9.0	-13.4	13	368	49.3411434	10.8888776
51647	9.1	-10.0	6	345	51.0462082	7.6225495
56865	8.8	-10.8	7	439	50.0323575	7.280138000000001
89346	8.8	-12.6	13	501	48.3916726	10.2040311
39288	9.5	-12.8	4	38	52.2978506	11.8716379
91722	8.6	-13.2	13	496	49.1445963	10.6172451
97513	8.8	-11.9	13	357	49.9264999	10.4712655
63920	10.5	-10.4	12	148	49.7272518	9.221989
79865	7.3	-13.8	8	922	47.77337439999999	8.2582602
35689	8.6	-11.3	6	378	50.7510303	8.3355982
57339	7.8	-11.8	6	527	50.9891361	8.2545307
54306	9.9	-9.5	7	270	49.8330028	6.656252299999999
44625	11.2	-7.6	5	64	51.5279591	7.210458999999998
31618	10.1	-10.6	3	33	52.6002811	9.0919403
31556	9.9	-10.7	3	96	52.4206917	9.2340303
73666	9.3	-11.7	6	442	48.7451443	9.4423594
18198	9.0	-11.5	2	41	54.05172270000001	12.050804
81377	8.9	-13.3	13	546	48.1059924	11.4864487
95131	7.2	-14.5	10	623	50.2838803	11.6228713
97526	9.6	-11.5	13	219	50.0437764	10.2629968
66851	9.1	-10.9	6	434	49.38948	7.615063399999999
17419	9.0	-11.8	2	-3	53.93924	14.1875783
24631	8.9	-9.1	3	25	54.2116791	9.9298235
99819	8.7	-12.9	7	326	50.9134368	10.2028185
91610	9.1	-12.4	13	414	49.3107041	10.1567671
87487	6.9	-15.1	15	906	47.7396329	10.2114607
97789	8.4	-12.0	10	421	50.2737493	9.804508
10777	10.7	-11.3	4	38	52.4972347	13.3429021
17349	9.0	-13.3	4	81	53.5352982	13.59334
01157	10.2	-12.6	4	140	51.06341339999999	13.6678312
51465	10.5	-8.8	5	131	50.9966653	7.1634118
78730	8.2	-12.6	8	687	48.2291628	8.344483199999999
65239	10.7	-9.8	12	124	50.0215517	8.3567909
57627	9.3	-10.1	6	338	50.65710259999999	7.8079388
64401	10.2	-10.6	6	207	49.8004578	8.8237607
37299	8.8	-12.8	7	307	51.1114798	10.143571
89281	8.5	-12.9	13	573	48.1598956	10.1140711
21449	9.4	-10.8	3	17	53.3118884	10.288329
95460	8.4	-13.2	10	414	50.0433513	11.6653144
85137	9.1	-12.5	13	390	48.9226512	11.2967913
74177	10.6	-10.5	13	172	49.237102	9.2101487
41372	10.7	-8.7	5	69	51.2168087	6.155755099999999
86750	8.9	-13.2	13	433	48.9381539	10.6509633
24598	8.9	-9.8	3	54	54.0020848	10.0608786
89356	8.7	-13.1	13	513	48.437008	10.4482975
12159	10.0	-12.0	4	47	52.4736908	13.3352069
03130	9.3	-14.4	4	142	51.5837985	14.3759135
92536	8.6	-13.8	13	390	49.49400199999999	12.1818588
92718	8.5	-13.3	13	423	49.6501168	12.169505
91729	8.8	-13.6	13	460	49.1547132	10.7986771
22965	9.1	-10.6	3	48	53.6946084	10.3486886
91589	8.5	-13.1	13	503	49.2464705	10.4153965
04861	9.5	-13.0	4	99		
33397	10.2	-10.1	5	75	51.7855342	8.3946686
65326	9.8	-10.1	7	246	50.2482114	8.0814608
66701	9.9	-9.7	6	304	49.4327833	6.7559333
53560	9.4	-9.8	5	350	50.6177156	7.332080999999999
71139	9.4	-11.6	6	436	48.6584785	8.9461595
92702	8.3	-13.5	13	448	49.6090498	12.0196638
07973	8.5	-14.4	9	385	50.655071	12.1936306
07580	8.9	-14.2	9	318	50.8644901	12.1807305
08451	9.1	-14.0	9	270	50.8073347	12.3475959
19406	9.2	-11.9	4	41	53.692225	11.8693216
67732	9.8	-10.2	6	286	49.5214501	7.6777579
59590	10.0	-10.1	5	110	51.6530133	8.4651976
18230	9.1	-10.0	2	28	54.1083782	11.6744498
78464	10.1	-9.4	13	418	47.6755009	9.1980125
09355	9.0	-13.6	9	334	50.7584086	12.7100191
24409	9.0	-7.6	2	27	54.6963912	9.8778143
36132	8.5	-12.6	7	365	50.76094630000001	9.8069757
73525	9.9	-11.2	6	350	48.79376850000001	9.7988852
25451	9.1	-10.3	3	19	53.7302729	9.8995154
83064	8.8	-12.5	13	478	47.7915891	12.075049
67591	10.7	-10.1	12	134	49.6189708	8.2247439
23556	9.2	-10.7	2	21	53.8653518	10.6227534
15374	9.5	-13.6	4	57	52.51118959999999	14.1338739
02791	8.5	-15.0	10	325	50.9564824	14.7224231
88699	9.6	-9.8	13	480	47.8140472	9.2730933
29690	9.8	-10.8	3	25	52.6763454	9.6178404
39221	9.4	-12.7	4	68	51.9744682	11.6559649
96123	8.7	-13.1	13	351	49.9122281	11.0092936
37181	8.4	-12.6	7	344	51.6526873	9.8286322
54298	9.5	-9.8	7	365	49.8530866	6.5693978
53562	9.5	-9.8	6	330	50.5872841	7.360184299999999
70191	11.1	-9.9	12	266	48.79887799999999	9.1865335
88483	8.6	-13.0	13	547	48.2382853	9.934334200000002
22529	9.7	-9.3	3	17	53.5913082	9.9581828
10119	10.8	-11.2	4	55	52.530741	13.4058114
92724	8.3	-13.7	10	435	49.7828104	11.8928754
83242	6.6	-14.4	15	1032	47.67656059999999	12.4692093
08258	7.5	-14.5	10	539	50.3051377	12.3244969
03249	9.4	-13.6	4	96	51.70642309999999	13.6310279
82279	8.7	-14.2	13	540	48.0851395	11.1146101
91161	8.8	-13.7	13	436	49.173984	11.2364377
86956	8.1	-14.1	15	689	47.8161231	10.8927015
56333	10.2	-9.2	5	206	50.3166544	7.516247299999999
85386	8.9	-13.6	13	468	48.3005613	11.6292346
54455	10.3	-9.0	7	190	49.57928889999999	6.609037499999999
74348	10.5	-10.7	12	171	49.078045	9.1581693
36329	8.7	-11.8	7	332	50.7147105	9.2208228
74354	10.4	-10.8	12	181	48.9966629	9.1575486
16247	9.1	-14.0	4	60	52.9794582	13.7448595
36037	9.4	-11.3	7	280	50.55461	9.6850955
91595	8.7	-13.0	13	467	49.2369601	10.5923182
91719	8.2	-13.3	13	578	48.9969308	10.738048
38473	9.6	-11.8	3	65	52.5179305	10.8064619
91793	9.2	-13.1	13	422	49.046313	10.8637468
55128	10.8	-9.6	12	121	49.9783406	8.239082999999999
65618	9.6	-10.5	7	245	50.3537654	8.2774167
35119	8.6	-11.7	7	341	50.9740297	8.868148999999999
78736	8.6	-12.3	6	607	48.2650763	8.6278898
49214	10.0	-10.0	6	90	52.09502	8.1602379
07768	9.5	-13.1	9	189	50.8001196	11.583762
66663	10.4	-9.0	6	168	49.4413476	6.6079547
66127	10.1	-9.6	6	295	49.2246625	6.871119999999999
76857	9.5	-10.8	6	417	49.1622792	7.9587265
65611	10.1	-10.0	7	140	50.3611343	8.173656099999999
78224	9.9	-9.8	13	445	47.7670971	8.8722387
35305	9.0	-11.3	7	304	50.6053598	8.9574649
28879	9.5	-9.6	3	4	53.1914719	8.9967169
63694	10.1	-10.6	12	178	50.26429479999999	8.9890621
70173	11.5	-9.3	12	256	48.78270269999999	9.1828631
83022	9.5	-11.9	13	447	47.8532062	12.1312803
93485	7.7	-13.3	10	540	49.2307235	12.8861304
94267	7.4	-13.8	10	578	49.1092689	12.8231567
94259	7.0	-13.7	10	662	48.89809959999999	13.1821888
41464	11.2	-7.8	5	40	51.1910608	6.672621899999999
47228	11.4	-7.8	5	24	51.4237748	6.698690000000001
51147	10.9	-8.3	5	63	50.8681948	7.123898499999999
67307	10.0	-10.2	6	262	49.5912395	8.035902499999999
63796	10.7	-10.3	12	114	50.0861406	9.0118247
74821	9.9	-11.0	12	289	49.3813119	9.1332697
35576	10.0	-10.6	7	150	50.5629784	8.4800373
35633	9.4	-11.3	7	208	50.5878113	8.5680445
24768	9.3	-8.6	3	7	54.3063359	9.6429685
31084	9.4	-11.8	7	118	51.165691	10.451526
20257	9.8	-9.2	3	20	53.5754253	9.9438616
21527	9.3	-10.8	3	41	53.4641301	10.4601958
48336	10.2	-9.9	5	59	52.0113451	8.0590295
14199	9.9	-12.0	4	47	52.4767935	13.2962036
94142	8.5	-12.3	13	467	48.7335965	13.4576202
01816	8.0	-14.1	10	450	50.8484584	13.9407149
17322	9.2	-13.8	2	13	53.4989201	14.3043379
63069	10.6	-10.3	12	132	50.07477009999999	8.755732
91341	9.3	-13.2	13	304	49.6682394	10.9245571
92289	8.0	-14.4	13	524	49.4008175	11.7567381
04109	10.9	-11.7	4	113	51.3383504	12.3634475
50969	11.2	-8.0	5	53	50.9080883	6.9396948
22307	9.8	-9.3	3	18	53.5987643	10.0417788
98711	6.6	-14.6	10	698	50.6037584	10.812905
96049	8.9	-13.3	13	331	49.8729118	10.8808637
87527	6.9	-16.2	15	814	47.5092772	10.2861385
32676	9.1	-11.6	6	176	51.8898786	9.2689127
24405	8.9	-8.6	3	39	54.67642919999999	9.7146247
63872	9.5	-11.3	6	283	49.8824801	9.2934551
14806	9.1	-13.0	4	122	52.17816939999999	12.6006034
09496	6.2	-15.1	11	775	50.60886439999999	13.1846783
17440	9.0	-11.5	2	1	53.9821261	13.7786377
18314	8.9	-12.0	2	4	54.3075191	12.6113199
17219	9.0	-12.6	4	99	53.53678009999999	12.9307154
29493	9.5	-12.1	4	14	53.0355843	11.5389395
07381	9.5	-13.1	9	221	50.7057241	11.6012879
29313	9.7	-11.1	3	43	52.6178703	9.9406854
37671	9.2	-11.5	7	147	51.7980896	9.3510271
73779	10.2	-10.9	6	309	48.7119155	9.387045
97848	8.8	-12.0	6	398	49.9826894	9.5103624
74909	10.4	-10.5	12	182	49.3287601	8.8234853
76448	11.1	-10.0	12	107	48.9349249	8.2994278
68163	11.3	-10.3	12	96	49.4677562	8.506636
56828	8.6	-11.0	6	446	50.1770095	7.0395356
48529	10.1	-9.0	5	25	52.4003033	7.0773237
26845	9.6	-9.3	3	0	53.2423079	7.5695484
35685	8.7	-11.1	6	359	50.7671042	8.267108
35683	9.4	-11.0	6	235	50.7445501	8.2799788
67366	11.0	-9.8	12	114	49.2654907	8.3011904
77761	9.2	-11.4	8	509	48.26538370000001	8.353323
33154	10.1	-10.1	5	101	51.6752444	8.5968392
74239	10.3	-10.7	13	240	49.241222	9.4029502
56355	9.7	-9.8	7	277	50.2013902	7.85813
38382	9.6	-12.2	3	94	52.0690817	10.8516784
66773	10.3	-9.4	6	230	49.3109481	6.8328298
90419	10.1	-12.1	13	297	49.4610926	11.0564774
85570	8.7	-13.7	13	500	48.1997776	11.872263
13086	10.0	-12.1	4	51	52.554561	13.4466477
07639	8.9	-14.0	9	305	50.92224290000001	11.8704091
46419	10.5	-8.3	5	16	51.8331306	6.4641478
40627	11.0	-8.0	5	44	51.2024446	6.8838823
66871	9.6	-10.2	6	323	49.5698373	7.3579944
88175	7.9	-13.2	13	727	47.5673751	9.8535614
34121	10.0	-10.3	7	171	51.3021767	9.4803861
84573	8.4	-13.6	13	496	48.34266419999999	12.4398075
91626	8.6	-12.9	13	485	49.1204086	10.3054512
95508	7.5	-14.3	10	572	49.89628889999999	11.8970132
04420	9.7	-13.5	4	121	51.2878749	12.2127083
02779	8.4	-15.1	10	332	50.8952121	14.6639858
47559	10.5	-8.2	5	13	51.7936497	6.018026
41569	10.7	-8.4	5	67	51.0514549	6.6820125
98724	6.6	-14.9	10	704	50.4939927	11.1404127
