scenario;category;metric;device;year;value;unit
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;15;308070.57;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;15;1068277.872;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;15;458782.814;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;15;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;19;305707.86;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;19;1254248.955;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;19;275286.497;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;19;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;19;0.0;kWh
rural;power_profile_by_year;power_profile_energy_kwh;PV;0;555807.363;kWh
rural;power_profile_by_year;power_kW;PV;0;441;kW
rural;power_profile_by_year;power_profile_energy_kwh;WT;0;0.0;kWh
rural;power_profile_by_year;power_kW;WT;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;WAT;0;0.0;kWh
rural;power_profile_by_year;power_kW;WAT;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;HP;0;338866.529;kWh
rural;power_profile_by_year;power_kW;HP;0;108;kW
rural;power_profile_by_year;power_profile_energy_kwh;EB;0;0.0;kWh
rural;power_profile_by_year;power_kW;EB;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CC;0;0.0;kWh
rural;power_profile_by_year;power_kW;CC;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CHP;0;0.0;kWh
rural;power_profile_by_year;power_kW;CHP;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;BCHP;0;291952.7;kWh
rural;power_profile_by_year;power_kW;BCHP;0;91;kW
rural;power_profile_by_year;power_profile_energy_kwh;WCHP;0;0.0;kWh
rural;power_profile_by_year;power_kW;WCHP;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;ELYZ;0;0.0;kWh
rural;power_profile_by_year;power_kW;ELYZ;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;FC;0;0.0;kWh
rural;power_profile_by_year;power_kW;FC;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_grid;0;287936.323;kWh
rural;power_profile_by_year;power_kW;from_grid;0;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_grid;0;340112.968;kWh
rural;power_profile_by_year;power_kW;to_grid;0;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_main_grid;0;287936.323;kWh
rural;power_profile_by_year;power_kW;from_main_grid;0;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_main_grid;0;340112.968;kWh
rural;power_profile_by_year;power_kW;to_main_grid;0;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_network;0;0.0;kWh
rural;power_profile_by_year;power_kW;from_network;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_network;0;0.0;kWh
rural;power_profile_by_year;power_kW;to_network;0;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;PV;5;555807.363;kWh
rural;power_profile_by_year;power_kW;PV;5;441;kW
rural;power_profile_by_year;power_profile_energy_kwh;WT;5;0.0;kWh
rural;power_profile_by_year;power_kW;WT;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;WAT;5;0.0;kWh
rural;power_profile_by_year;power_kW;WAT;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;HP;5;338866.529;kWh
rural;power_profile_by_year;power_kW;HP;5;108;kW
rural;power_profile_by_year;power_profile_energy_kwh;EB;5;0.0;kWh
rural;power_profile_by_year;power_kW;EB;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CC;5;0.0;kWh
rural;power_profile_by_year;power_kW;CC;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CHP;5;0.0;kWh
rural;power_profile_by_year;power_kW;CHP;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;BCHP;5;291952.7;kWh
rural;power_profile_by_year;power_kW;BCHP;5;91;kW
rural;power_profile_by_year;power_profile_energy_kwh;WCHP;5;0.0;kWh
rural;power_profile_by_year;power_kW;WCHP;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;ELYZ;5;0.0;kWh
rural;power_profile_by_year;power_kW;ELYZ;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;FC;5;0.0;kWh
rural;power_profile_by_year;power_kW;FC;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_grid;5;287936.323;kWh
rural;power_profile_by_year;power_kW;from_grid;5;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_grid;5;340112.968;kWh
rural;power_profile_by_year;power_kW;to_grid;5;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_main_grid;5;287936.323;kWh
rural;power_profile_by_year;power_kW;from_main_grid;5;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_main_grid;5;340112.968;kWh
rural;power_profile_by_year;power_kW;to_main_grid;5;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_network;5;0.0;kWh
rural;power_profile_by_year;power_kW;from_network;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_network;5;0.0;kWh
rural;power_profile_by_year;power_kW;to_network;5;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;PV;10;555807.363;kWh
rural;power_profile_by_year;power_kW;PV;10;441;kW
rural;power_profile_by_year;power_profile_energy_kwh;WT;10;0.0;kWh
rural;power_profile_by_year;power_kW;WT;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;WAT;10;0.0;kWh
rural;power_profile_by_year;power_kW;WAT;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;HP;10;338866.529;kWh
rural;power_profile_by_year;power_kW;HP;10;108;kW
rural;power_profile_by_year;power_profile_energy_kwh;EB;10;0.0;kWh
rural;power_profile_by_year;power_kW;EB;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CC;10;0.0;kWh
rural;power_profile_by_year;power_kW;CC;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CHP;10;0.0;kWh
rural;power_profile_by_year;power_kW;CHP;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;BCHP;10;291952.7;kWh
rural;power_profile_by_year;power_kW;BCHP;10;91;kW
rural;power_profile_by_year;power_profile_energy_kwh;WCHP;10;0.0;kWh
rural;power_profile_by_year;power_kW;WCHP;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;ELYZ;10;0.0;kWh
rural;power_profile_by_year;power_kW;ELYZ;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;FC;10;0.0;kWh
rural;power_profile_by_year;power_kW;FC;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_grid;10;287936.323;kWh
rural;power_profile_by_year;power_kW;from_grid;10;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_grid;10;340112.968;kWh
rural;power_profile_by_year;power_kW;to_grid;10;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_main_grid;10;287936.323;kWh
rural;power_profile_by_year;power_kW;from_main_grid;10;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_main_grid;10;340112.968;kWh
rural;power_profile_by_year;power_kW;to_main_grid;10;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_network;10;0.0;kWh
rural;power_profile_by_year;power_kW;from_network;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_network;10;0.0;kWh
rural;power_profile_by_year;power_kW;to_network;10;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;PV;15;555807.363;kWh
rural;power_profile_by_year;power_kW;PV;15;441;kW
rural;power_profile_by_year;power_profile_energy_kwh;WT;15;0.0;kWh
rural;power_profile_by_year;power_kW;WT;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;WAT;15;0.0;kWh
rural;power_profile_by_year;power_kW;WAT;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;HP;15;338866.529;kWh
rural;power_profile_by_year;power_kW;HP;15;108;kW
rural;power_profile_by_year;power_profile_energy_kwh;EB;15;0.0;kWh
rural;power_profile_by_year;power_kW;EB;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CC;15;0.0;kWh
rural;power_profile_by_year;power_kW;CC;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CHP;15;0.0;kWh
rural;power_profile_by_year;power_kW;CHP;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;BCHP;15;291952.7;kWh
rural;power_profile_by_year;power_kW;BCHP;15;91;kW
rural;power_profile_by_year;power_profile_energy_kwh;WCHP;15;0.0;kWh
rural;power_profile_by_year;power_kW;WCHP;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;ELYZ;15;0.0;kWh
rural;power_profile_by_year;power_kW;ELYZ;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;FC;15;0.0;kWh
rural;power_profile_by_year;power_kW;FC;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_grid;15;287936.323;kWh
rural;power_profile_by_year;power_kW;from_grid;15;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_grid;15;340112.968;kWh
rural;power_profile_by_year;power_kW;to_grid;15;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_main_grid;15;287936.323;kWh
rural;power_profile_by_year;power_kW;from_main_grid;15;191;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_main_grid;15;340112.968;kWh
rural;power_profile_by_year;power_kW;to_main_grid;15;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_network;15;0.0;kWh
rural;power_profile_by_year;power_kW;from_network;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_network;15;0.0;kWh
rural;power_profile_by_year;power_kW;to_network;15;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;PV;19;555807.363;kWh
rural;power_profile_by_year;power_kW;PV;19;441;kW
rural;power_profile_by_year;power_profile_energy_kwh;WT;19;0.0;kWh
rural;power_profile_by_year;power_kW;WT;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;WAT;19;0.0;kWh
