scenario;category;metric;device;year;value;unit
ghd6;heat_profile_devs_by_year;heat_kW;BBOI;10;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;10;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;WCHP;10;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;10;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;WBOI;10;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;10;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;FC;10;0;kW
ghd6;tes_charge_loss_by_year;tes_charge_loss_kwh;TES;10;;MWh
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;STC;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;15;3182340.34;kWh
ghd6;heat_profile_devs_by_year;heat_kW;HP;15;1118;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;EB;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;AC;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;CHP;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;BOI;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;GHP;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;BCHP;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;BBOI;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;WCHP;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;WBOI;15;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;15;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;FC;15;0;kW
ghd6;tes_charge_loss_by_year;tes_charge_loss_kwh;TES;15;;MWh
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;STC;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;20;2953182.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;HP;20;1118;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;EB;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;AC;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;CHP;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;BOI;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;GHP;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;BCHP;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;BBOI;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;WCHP;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;WBOI;20;0;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;20;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;FC;20;0;kW
ghd6;tes_charge_loss_by_year;tes_charge_loss_kwh;TES;20;;MWh
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;PV;0;4182094.807;kWh
ghd6;power_profile_devs_by_year;power_kW;PV;0;3155;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WT;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WT;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WAT;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WAT;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;HP;0;1262962.496;kWh
ghd6;power_profile_devs_by_year;power_kW;HP;0;419;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;EB;0;155321.029;kWh
ghd6;power_profile_devs_by_year;power_kW;EB;0;260;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CC;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CC;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CHP;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CHP;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;BCHP;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;BCHP;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WCHP;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WCHP;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;ELYZ;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;ELYZ;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;FC;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;FC;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_grid;0;2364051.936;kWh
ghd6;power_profile_devs_by_year;power_kW;from_grid;0;1125;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_grid;0;2851844.588;kWh
ghd6;power_profile_devs_by_year;power_kW;to_grid;0;2811;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_main_grid;0;2364051.936;kWh
ghd6;power_profile_devs_by_year;power_kW;from_main_grid;0;1125;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_main_grid;0;2851844.588;kWh
