Support_Year;Cluster;Timestep;to_network_kW;from_network_kW;to_main_grid_kW;from_main_grid_kW;to_grid_kW;from_grid_kW
0;1;20;0.0;0.955;0.0;0.0;0.0;0.955
0;1;21;0.0;0.922;0.0;0.0;0.0;0.922
0;1;22;0.0;0.952;0.0;0.0;0.0;0.952
0;1;23;0.0;0.846;0.0;0.0;0.0;0.846
0;1;24;0.0;0.945;0.0;0.0;0.0;0.945
0;1;25;0.0;0.968;0.0;0.0;0.0;0.968
0;1;26;0.0;0.867;0.0;0.0;0.0;0.867
0;1;27;0.0;0.909;0.0;0.0;0.0;0.909
0;1;28;0.0;0.949;0.0;0.0;0.0;0.949
0;1;29;0.0;0.896;0.0;0.0;0.0;0.896
0;1;30;0.0;0.541;0.0;0.0;0.0;0.541
0;1;31;1.327;0.0;0.0;0.0;1.327;0.0
0;1;32;9.739;0.0;0.0;0.0;9.739;0.0
0;1;33;19.202;0.0;0.0;0.0;19.202;0.0
0;1;34;24.398;0.0;0.0;0.0;24.398;0.0
0;1;35;28.928;0.0;2.681;0.0;31.608;0.0
0;1;36;28.235;0.0;13.1;0.0;41.335;0.0
0;1;37;26.623;0.0;15.465;0.0;42.088;0.0
0;1;38;24.34;0.0;14.486;0.0;38.826;0.0
0;1;39;23.9;0.0;7.514;0.0;31.414;0.0
0;1;40;22.533;0.0;0.0;0.0;22.533;0.0
0;1;41;12.784;0.0;0.0;0.0;12.784;0.0
0;1;42;6.472;0.0;0.0;0.0;6.472;0.0
0;1;43;0.0;0.202;0.0;0.0;0.0;0.202
0;1;44;0.0;0.847;0.0;0.0;0.0;0.847
0;1;45;0.0;0.88;0.0;0.0;0.0;0.88
0;1;46;0.0;0.902;0.0;0.0;0.0;0.902
0;1;47;0.0;0.828;0.0;0.0;0.0;0.828
0;1;48;0.0;0.877;0.0;0.0;0.0;0.877
0;1;49;0.0;0.933;0.0;0.0;0.0;0.933
0;1;50;0.0;0.955;0.0;0.0;0.0;0.955
0;1;51;0.0;0.929;0.0;0.0;0.0;0.929
0;1;52;0.0;0.961;0.0;0.0;0.0;0.961
0;1;53;0.0;0.975;0.0;0.0;0.0;0.975
0;1;54;0.0;0.674;0.0;0.0;0.0;0.674
0;1;55;2.165;0.0;0.0;0.0;2.165;0.0
0;1;56;11.121;0.0;0.0;0.0;11.121;0.0
0;1;57;21.812;0.0;0.0;0.0;21.812;0.0
0;1;58;28.808;0.0;2.109;0.0;30.917;0.0
0;1;59;22.037;0.0;15.231;0.0;37.268;0.0
0;1;60;18.504;0.0;24.288;0.0;42.792;0.0
0;1;61;17.135;0.0;21.038;0.0;38.173;0.0
0;1;62;17.31;0.0;7.518;0.0;24.829;0.0
0;1;63;9.78;0.0;0.0;0.0;9.78;0.0
0;1;64;16.555;0.0;0.0;0.0;16.555;0.0
0;1;65;12.541;0.0;0.0;0.0;12.541;0.0
0;1;66;4.623;0.0;0.0;0.0;4.623;0.0
0;1;67;0.0;0.199;0.0;0.0;0.0;0.199
0;1;68;0.0;0.918;0.0;0.0;0.0;0.918
0;1;69;0.0;0.915;0.0;0.0;0.0;0.915
0;1;70;0.0;1.007;0.0;0.0;0.0;1.007
0;1;71;0.0;0.913;0.0;0.0;0.0;0.913
0;1;72;0.0;0.995;0.0;0.0;0.0;0.995
0;1;73;0.0;0.976;0.0;0.0;0.0;0.976
0;1;74;0.0;0.976;0.0;0.0;0.0;0.976
0;1;75;0.0;0.985;0.0;0.0;0.0;0.985
0;1;76;0.0;0.958;0.0;0.0;0.0;0.958
0;1;77;0.0;0.915;0.0;0.0;0.0;0.915
0;1;78;0.0;0.638;0.0;0.0;0.0;0.638
0;1;79;2.893;0.0;0.0;0.0;2.893;0.0
0;1;80;12.769;0.0;0.0;0.0;12.769;0.0
0;1;81;25.262;0.0;0.0;0.0;25.262;0.0
0;1;82;26.432;0.0;9.203;0.0;35.635;0.0
0;1;83;6.789;0.0;36.514;0.0;43.303;0.0
0;1;84;0.0;1.33;47.759;0.0;47.759;1.33
0;1;85;0.0;0.409;43.668;0.0;43.668;0.409
0;1;86;0.0;1.317;39.204;0.0;39.204;1.317
0;1;87;6.591;0.0;28.702;0.0;35.292;0.0
0;1;88;19.377;0.0;0.0;0.0;19.377;0.0
0;1;89;10.068;0.0;0.0;0.0;10.068;0.0
0;1;90;6.085;0.0;0.0;0.0;6.085;0.0
0;1;91;0.0;0.251;0.0;0.0;0.0;0.251
0;1;92;0.0;0.987;0.0;0.0;0.0;0.987
0;1;93;0.0;0.914;0.0;0.0;0.0;0.914
0;1;94;0.0;0.937;0.0;0.0;0.0;0.937
0;1;95;0.0;0.911;0.0;0.0;0.0;0.911
0;1;96;0.0;0.954;0.0;0.0;0.0;0.954
0;1;97;0.0;1.01;0.0;0.0;0.0;1.01
0;1;98;0.0;0.934;0.0;0.0;0.0;0.934
0;1;99;0.0;0.892;0.0;0.0;0.0;0.892
0;1;100;0.0;0.954;0.0;0.0;0.0;0.954
0;1;101;0.0;0.976;0.0;0.0;0.0;0.976
0;1;102;0.0;0.712;0.0;0.0;0.0;0.712
0;1;103;0.365;0.0;0.0;0.0;0.365;0.0
0;1;104;4.923;0.0;0.0;0.0;4.923;0.0
0;1;105;5.304;0.0;0.0;0.0;5.304;0.0
0;1;106;18.703;0.0;0.0;0.0;18.703;0.0
0;1;107;36.529;0.0;1.634;0.0;38.163;0.0
0;1;108;31.51;0.0;13.517;0.0;45.028;0.0
0;1;109;33.138;0.0;1.216;0.0;34.353;0.0
0;1;110;14.583;0.0;0.0;0.0;14.583;0.0
0;1;111;10.159;0.0;0.0;0.0;10.159;0.0
0;1;112;9.009;0.0;0.0;0.0;9.009;0.0
0;1;113;8.085;0.0;0.0;0.0;8.085;0.0
0;1;114;5.549;0.0;0.0;0.0;5.549;0.0
0;1;115;0.0;0.26;0.0;0.0;0.0;0.26
0;1;116;0.0;0.998;0.0;0.0;0.0;0.998
0;1;117;0.0;0.966;0.0;0.0;0.0;0.966
0;1;118;0.0;0.929;0.0;0.0;0.0;0.929
0;1;119;0.0;0.959;0.0;0.0;0.0;0.959
0;1;120;0.0;0.944;0.0;0.0;0.0;0.944
0;1;121;0.0;0.953;0.0;0.0;0.0;0.953
0;1;122;0.0;0.898;0.0;0.0;0.0;0.898
0;1;123;0.0;0.934;0.0;0.0;0.0;0.934
0;1;124;0.0;0.861;0.0;0.0;0.0;0.861
0;1;125;0.0;0.937;0.0;0.0;0.0;0.937
0;1;126;0.0;0.812;0.0;0.0;0.0;0.812
0;1;127;0.0;0.761;0.0;0.0;0.0;0.761
0;1;128;8.403;0.0;0.0;0.0;8.403;0.0
0;1;129;19.807;0.0;0.0;0.0;19.807;0.0
0;1;130;28.896;0.0;0.0;0.0;28.896;0.0
0;1;131;35.295;0.0;0.0;0.0;35.295;0.0
0;1;132;40.625;0.0;0.0;0.0;40.625;0.0
0;1;133;37.596;0.0;0.0;0.0;37.596;0.0
