Support_Year;Cluster;Timestep;HP;EB;from_grid;from_main_grid;Power_Demand_kW
0;0;63;31.158;159.543;0.0;190.701;190.701
0;0;64;51.867;161.249;0.0;213.117;213.117
0;0;65;43.178;34.591;0.0;77.77;77.77
0;0;66;64.565;117.569;0.0;182.134;182.134
0;0;67;63.546;120.006;0.0;183.553;183.553
0;0;68;50.19;164.665;0.0;214.855;214.855
0;0;69;67.815;166.802;0.0;234.617;234.617
0;0;70;56.834;167.657;0.0;224.491;224.491
0;0;71;31.837;170.652;0.0;202.489;202.489
0;0;72;5.566;145.774;0.0;151.34;151.34
0;0;73;9.495;174.505;0.0;184.0;184.0
0;0;74;7.104;161.36;0.0;168.464;168.464
0;0;75;8.441;167.995;0.0;176.436;176.436
0;0;76;7.925;176.439;0.0;184.364;184.364
0;0;77;11.073;183.514;0.0;194.587;194.587
0;0;78;10.221;149.963;0.0;160.184;160.184
0;0;79;19.626;185.663;0.0;205.289;205.289
0;0;80;30.935;188.244;0.0;219.179;219.179
0;0;81;31.116;188.244;0.0;219.359;219.359
0;0;82;43.467;186.523;0.0;229.99;229.99
0;0;83;28.049;183.944;0.0;211.993;211.993
0;0;84;43.839;181.796;0.0;225.635;225.635
0;0;85;29.047;173.614;0.0;202.661;202.661
0;0;86;36.126;158.616;0.0;194.742;194.742
0;0;87;35.896;165.12;0.0;201.016;201.016
0;0;88;43.851;157.337;0.0;201.187;201.187
0;0;89;51.785;147.026;0.0;198.812;198.812
0;0;90;54.905;147.264;0.0;202.169;202.169
0;0;91;50.147;149.905;0.0;200.052;200.052
0;0;92;63.38;154.651;0.0;218.032;218.032
0;0;93;46.014;159.478;0.0;205.492;205.492
0;0;94;45.992;160.453;0.0;206.445;206.445
0;0;95;34.14;150.612;0.0;184.752;184.752
0;0;96;5.693;164.197;0.0;169.89;169.89
0;0;97;15.034;164.864;0.0;179.899;179.899
0;0;98;8.283;164.391;0.0;172.674;172.674
0;0;99;7.806;162.791;0.0;170.597;170.597
0;0;100;8.87;166.048;0.0;174.918;174.918
0;0;101;7.842;168.94;0.0;176.782;176.782
0;0;102;10.832;169.368;0.0;180.2;180.2
0;0;103;25.078;169.368;0.0;194.446;194.446
0;0;104;40.835;163.526;0.0;204.361;204.361
0;0;105;42.057;162.172;0.0;204.23;204.23
0;0;106;57.042;159.025;0.0;216.067;216.067
0;0;107;22.068;149.065;0.0;171.132;171.132
0;0;108;28.015;149.054;0.0;177.069;177.069
0;0;109;29.246;140.333;0.0;169.579;169.579
0;0;110;42.258;137.657;0.0;179.915;179.915
0;0;111;41.793;137.15;0.0;178.943;178.943
0;0;112;51.978;135.865;0.0;187.843;187.843
0;0;113;43.63;164.238;0.0;207.869;207.869
0;0;114;52.394;110.845;0.0;163.239;163.239
0;0;115;65.058;146.692;0.0;211.749;211.749
0;0;116;52.858;146.282;0.0;199.139;199.139
0;0;117;54.297;145.707;0.0;200.005;200.005
0;0;118;40.265;135.252;0.0;175.517;175.517
0;0;119;27.812;132.473;0.0;160.285;160.285
0;0;120;5.672;127.563;0.0;133.235;133.235
0;0;121;9.334;124.785;0.0;134.119;134.119
0;0;122;8.505;117.851;0.0;126.356;126.356
0;0;123;6.683;113.548;0.0;120.231;120.231
0;0;124;7.336;112.211;0.0;119.547;119.547
0;0;125;12.07;107.895;0.0;119.965;119.965
0;0;126;14.959;115.372;0.0;130.331;130.331
0;0;127;26.337;115.273;0.0;141.61;141.61
0;0;128;46.263;99.997;0.0;146.26;146.26
0;0;129;36.536;99.477;0.0;136.013;136.013
0;0;130;35.964;147.616;0.0;183.58;183.58
0;0;131;28.342;147.191;0.0;175.533;175.533
0;0;132;21.608;81.939;0.0;103.547;103.547
0;0;133;30.828;0.0;0.0;30.828;30.828
0;0;134;29.094;154.001;0.0;183.095;183.095
0;0;135;28.23;154.427;0.0;182.656;182.656
0;0;136;41.905;121.009;0.0;162.914;162.914
0;0;137;52.452;100.41;0.0;152.862;152.862
0;0;138;56.458;0.0;0.0;56.458;56.458
0;0;139;66.343;70.472;0.0;136.815;136.815
0;0;140;57.587;120.05;0.0;177.637;177.637
0;0;141;42.015;124.206;0.0;166.221;166.221
0;0;142;43.64;112.611;0.0;156.251;156.251
0;0;143;29.525;115.898;0.0;145.423;145.423
0;0;144;5.785;119.432;0.0;125.217;125.217
0;0;145;10.049;119.849;0.0;129.898;129.898
0;0;146;7.961;123.138;0.0;131.098;131.098
0;0;147;7.564;124.278;0.0;131.842;131.842
0;0;148;7.387;163.384;0.0;170.771;170.771
0;0;149;8.494;94.205;0.0;102.699;102.699
0;0;150;13.465;166.802;0.0;180.267;180.267
0;0;151;29.183;168.085;0.0;197.267;197.267
0;0;152;29.673;110.25;0.0;139.923;139.923
0;0;153;43.043;148.028;0.0;191.072;191.072
0;0;154;51.247;147.361;0.0;198.608;198.608
0;0;155;28.257;141.827;0.0;170.084;170.084
0;0;156;24.689;138.07;0.0;162.759;162.759
0;0;157;35.256;118.704;0.0;153.96;153.96
0;0;158;31.518;106.909;0.0;138.427;138.427
0;0;159;26.218;104.385;0.0;130.603;130.603
0;0;160;38.479;160.823;0.0;199.301;199.301
0;0;161;57.556;122.442;0.0;179.998;179.998
0;0;162;48.835;164.238;0.0;213.073;213.073
0;0;163;54.472;165.947;0.0;220.419;220.419
0;0;164;56.174;9.867;0.0;66.041;66.041
0;0;165;60.401;168.085;0.0;228.486;228.486
0;0;166;61.065;169.368;0.0;230.433;230.433
0;0;167;34.625;170.224;0.0;204.848;204.848
0;1;0;5.556;0.0;0.0;5.556;5.556
0;1;1;7.117;0.0;0.0;7.117;7.117
0;1;2;7.237;0.0;0.0;7.237;7.237
0;1;3;7.476;0.0;0.0;7.476;7.476
0;1;4;9.078;0.0;0.0;9.078;9.078
0;1;5;10.018;0.0;0.0;10.018;10.018
0;1;6;15.769;0.0;0.0;15.769;15.769
0;1;7;19.946;0.0;0.0;19.946;19.946
0;1;8;30.779;0.0;0.0;30.779;30.779
0;1;9;25.437;0.0;0.0;25.437;25.437
0;1;10;30.081;0.0;0.0;30.081;30.081
0;1;11;25.809;0.0;0.0;25.809;25.809
0;1;12;31.581;0.0;0.0;31.581;31.581
0;1;13;30.316;0.0;0.0;30.316;30.316
0;1;14;31.062;0.0;0.0;31.062;31.062
0;1;15;19.449;0.0;0.0;19.449;19.449
0;1;16;34.787;0.0;0.0;34.787;34.787
0;1;17;46.317;0.0;0.0;46.317;46.317
0;1;18;52.142;0.0;0.0;52.142;52.142
0;1;19;47.588;0.0;0.0;47.588;47.588
0;1;20;53.727;0.0;0.0;53.727;53.727
0;1;21;47.005;0.0;0.0;47.005;47.005
0;1;22;52.088;0.0;0.0;52.088;52.088
0;1;23;27.652;0.0;0.0;27.652;27.652
0;1;24;5.537;0.0;0.0;5.537;5.537
0;1;25;7.472;0.0;0.0;7.472;7.472
0;1;26;8.633;0.0;0.0;8.633;8.633
0;1;27;10.279;0.0;0.0;10.279;10.279
0;1;28;11.091;0.0;0.0;11.091;11.091
0;1;29;12.638;4.101;0.0;16.739;16.739
0;1;30;23.045;0.0;0.0;23.045;23.045
0;1;31;27.063;8.534;0.0;35.597;35.597
0;1;32;31.882;2.716;0.0;34.597;34.597
0;1;33;27.509;2.585;0.0;30.094;30.094
0;1;34;46.815;2.33;0.0;49.146;49.146
0;1;35;26.705;2.943;0.0;29.648;29.648
0;1;36;38.463;3.743;0.0;42.207;42.207
0;1;37;32.259;2.012;0.0;34.271;34.271
0;1;38;29.824;1.823;0.0;31.647;31.647
0;1;39;33.636;4.139;0.0;37.775;37.775
0;1;40;31.196;0.0;0.0;31.196;31.196
0;1;41;49.948;55.388;0.0;105.336;105.336
0;1;42;39.862;0.0;0.0;39.862;39.862
0;1;43;38.274;0.0;0.0;38.274;38.274
0;1;44;49.168;0.0;0.0;49.168;49.168
0;1;45;68.166;0.0;0.0;68.166;68.166
0;1;46;55.194;0.0;0.0;55.194;55.194
0;1;47;40.404;0.0;0.0;40.404;40.404
0;1;48;5.587;0.0;0.0;5.587;5.587
0;1;49;8.168;0.0;0.0;8.168;8.168
0;1;50;8.398;0.0;0.0;8.398;8.398
0;1;51;8.393;0.0;0.0;8.393;8.393
0;1;52;7.837;0.0;0.0;7.837;7.837
0;1;53;7.614;0.0;0.0;7.614;7.614
0;1;54;8.712;0.0;0.0;8.712;8.712
0;1;55;14.814;0.0;0.0;14.814;14.814
0;1;56;36.136;0.0;0.0;36.136;36.136
0;1;57;17.35;0.0;0.0;17.35;17.35
0;1;58;39.009;2.854;0.0;41.862;41.862
0;1;59;32.812;2.411;0.0;35.224;35.224
0;1;60;28.284;1.864;0.0;30.149;30.149
0;1;61;29.525;2.267;0.0;31.792;31.792
0;1;62;26.087;3.281;0.0;29.369;29.369
0;1;63;29.249;65.289;0.0;94.539;94.539
0;1;64;29.366;0.0;0.0;29.366;29.366
0;1;65;38.062;0.0;0.0;38.062;38.062
0;1;66;46.726;0.0;0.0;46.726;46.726
0;1;67;60.323;0.0;0.0;60.323;60.323
0;1;68;56.566;0.0;0.0;56.566;56.566
0;1;69;42.631;0.0;0.0;42.631;42.631
0;1;70;56.778;0.0;0.0;56.778;56.778
0;1;71;34.101;0.0;0.0;34.101;34.101
0;1;72;5.584;0.0;0.0;5.584;5.584
0;1;73;7.115;0.0;0.0;7.115;7.115
0;1;74;7.355;0.0;0.0;7.355;7.355
0;1;75;7.517;0.0;0.0;7.517;7.517
0;1;76;7.784;0.0;0.0;7.784;7.784
0;1;77;8.264;0.0;0.0;8.264;8.264
0;1;78;10.001;0.0;0.0;10.001;10.001
0;1;79;10.264;0.0;0.0;10.264;10.264
0;1;80;21.506;0.0;0.0;21.506;21.506
0;1;81;25.746;3.292;0.0;29.038;29.038
0;1;82;30.147;2.828;0.0;32.976;32.976
0;1;83;27.866;2.537;0.0;30.403;30.403
0;1;84;35.503;1.814;0.0;37.316;37.316
0;1;85;33.516;2.55;0.0;36.066;36.066
0;1;86;30.314;3.125;0.0;33.439;33.439
0;1;87;43.778;56.955;0.0;100.733;100.733
0;1;88;36.414;0.0;0.0;36.414;36.414
0;1;89;44.281;0.0;0.0;44.281;44.281
0;1;90;36.865;0.0;0.0;36.865;36.865
0;1;91;39.171;0.0;0.0;39.171;39.171
0;1;92;44.294;0.0;0.0;44.294;44.294
0;1;93;52.993;0.0;0.0;52.993;52.993
0;1;94;45.558;0.0;0.0;45.558;45.558
0;1;95;37.013;0.0;0.0;37.013;37.013
0;1;96;6.429;0.0;0.0;6.429;6.429
0;1;97;11.26;0.0;0.0;11.26;11.26
0;1;98;8.052;0.0;0.0;8.052;8.052
0;1;99;7.537;0.0;0.0;7.537;7.537
0;1;100;11.67;0.0;0.0;11.67;11.67
0;1;101;7.071;0.0;0.0;7.071;7.071
0;1;102;7.011;0.0;0.0;7.011;7.011
0;1;103;19.04;0.0;0.0;19.04;19.04
0;1;104;29.159;0.0;0.0;29.159;29.159
0;1;105;52.01;3.016;0.0;55.026;55.026
0;1;106;39.401;3.031;0.0;42.432;42.432
0;1;107;40.913;2.82;0.0;43.733;43.733
0;1;108;30.92;4.288;0.0;35.208;35.208
0;1;109;35.889;2.201;0.0;38.09;38.09
0;1;110;36.168;2.328;0.0;38.496;38.496
0;1;111;32.119;2.697;0.0;34.816;34.816
0;1;112;37.604;2.732;0.0;40.336;40.336
0;1;113;44.946;48.342;0.0;93.288;93.288
0;1;114;40.143;0.0;0.0;40.143;40.143
0;1;115;47.535;0.0;0.0;47.535;47.535
0;1;116;61.584;0.0;0.0;61.584;61.584
0;1;117;56.475;0.0;0.0;56.475;56.475
0;1;118;59.879;0.0;0.0;59.879;59.879
0;1;119;43.986;0.0;0.0;43.986;43.986
0;1;120;5.884;0.0;0.0;5.884;5.884
0;1;121;9.468;0.0;0.0;9.468;9.468
0;1;122;7.254;0.0;0.0;7.254;7.254
0;1;123;9.122;0.0;0.0;9.122;9.122
0;1;124;8.57;0.0;0.0;8.57;8.57
0;1;125;6.571;0.0;0.0;6.571;6.571
0;1;126;16.541;0.0;0.0;16.541;16.541
0;1;127;33.247;0.0;0.0;33.247;33.247
0;1;128;32.813;0.0;0.0;32.813;32.813
0;1;129;31.145;2.888;0.0;34.033;34.033
0;1;130;24.17;3.121;0.0;27.29;27.29
0;1;131;34.843;2.858;0.0;37.701;37.701
0;1;132;30.927;4.771;0.0;35.698;35.698
0;1;133;32.938;2.218;0.0;35.157;35.157
0;1;134;27.08;2.433;0.0;29.513;29.513
0;1;135;28.82;2.341;0.0;31.161;31.161
0;1;136;59.928;1.58;0.0;61.508;61.508
0;1;137;39.237;43.955;0.0;83.192;83.192
0;1;138;54.516;0.0;0.0;54.516;54.516
0;1;139;59.02;0.0;0.0;59.02;59.02
0;1;140;56.771;0.0;0.0;56.771;56.771
0;1;141;49.109;0.0;0.0;49.109;49.109
0;1;142;69.681;0.0;0.0;69.681;69.681
0;1;143;40.935;0.0;0.0;40.935;40.935
0;1;144;5.524;0.0;0.0;5.524;5.524
0;1;145;10.374;0.0;0.0;10.374;10.374
0;1;146;7.616;0.0;0.0;7.616;7.616
0;1;147;8.356;0.0;0.0;8.356;8.356
0;1;148;7.122;0.0;0.0;7.122;7.122
0;1;149;8.113;0.0;0.0;8.113;8.113
0;1;150;9.078;0.0;0.0;9.078;9.078
0;1;151;22.761;0.0;0.0;22.761;22.761
0;1;152;27.679;0.0;0.0;27.679;27.679
0;1;153;31.32;3.108;0.0;34.427;34.427
0;1;154;26.432;3.252;0.0;29.684;29.684
0;1;155;26.688;1.882;0.0;28.57;28.57
0;1;156;30.138;4.177;0.0;34.314;34.314
0;1;157;26.009;2.248;0.0;28.257;28.257
0;1;158;40.623;1.837;0.0;42.46;42.46
0;1;159;30.38;92.729;0.0;123.109;123.109
0;1;160;35.677;0.0;0.0;35.677;35.677
0;1;161;48.145;5.46;0.0;53.605;53.605
0;1;162;52.467;5.716;0.0;58.183;58.183
0;1;163;40.077;5.802;0.0;45.878;45.878
0;1;164;56.85;6.361;0.0;63.211;63.211
0;1;165;58.103;1.901;0.0;60.003;60.003
0;1;166;54.126;0.0;0.0;54.126;54.126
0;1;167;52.475;0.0;0.0;52.475;52.475
0;2;0;5.806;0.0;0.0;5.806;5.806
0;2;1;9.661;0.0;0.0;9.661;9.661
0;2;2;7.807;142.941;0.0;150.747;150.747
0;2;3;8.566;0.0;0.0;8.566;8.566
0;2;4;12.599;50.068;0.0;62.667;62.667
0;2;5;8.509;147.191;0.0;155.7;155.7
0;2;6;14.196;0.0;0.0;14.196;14.196
0;2;7;26.663;97.389;0.0;124.052;124.052
0;2;8;36.299;0.0;0.0;36.299;36.299
0;2;9;26.12;79.931;0.0;106.051;106.051
0;2;10;36.185;73.005;0.0;109.19;109.19
0;2;11;34.641;61.126;0.0;95.767;95.767
0;2;12;32.994;49.741;0.0;82.734;82.734
0;2;13;37.06;35.396;0.0;72.456;72.456
0;2;14;26.823;32.404;0.0;59.227;59.227
0;2;15;23.713;50.182;0.0;73.895;73.895
0;2;16;57.119;137.846;0.0;194.966;194.966
0;2;17;37.756;31.12;0.0;68.876;68.876
0;2;18;48.618;0.0;0.0;48.618;48.618
0;2;19;51.007;99.118;0.0;150.125;150.125
0;2;20;47.749;60.758;0.0;108.507;108.507
0;2;21;50.533;0.0;0.0;50.533;50.533
0;2;22;73.602;132.77;0.0;206.372;206.372
0;2;23;41.288;75.496;0.0;116.784;116.784
0;2;24;5.854;0.0;0.0;5.854;5.854
0;2;25;7.817;25.774;0.0;33.591;33.591
0;2;26;7.99;162.103;0.0;170.093;170.093
0;2;27;9.406;41.128;0.0;50.533;50.533
0;2;28;7.555;163.811;0.0;171.366;171.366
0;2;29;10.651;62.063;0.0;72.714;72.714
0;2;30;17.551;129.955;0.0;147.507;147.507
0;2;31;26.853;135.208;0.0;162.061;162.061
0;2;32;38.424;131.123;0.0;169.547;169.547
0;2;33;38.488;121.201;0.0;159.689;159.689
0;2;34;42.074;104.103;0.0;146.177;146.177
0;2;35;26.878;89.828;0.0;116.707;116.707
0;2;36;38.892;67.586;0.0;106.478;106.478
0;2;37;25.016;50.385;0.0;75.401;75.401
0;2;38;34.416;36.86;0.0;71.276;71.276
0;2;39;34.566;29.416;0.0;63.981;63.981
0;2;40;35.387;126.673;0.0;162.059;162.059
0;2;41;45.357;43.977;0.0;89.333;89.333
0;2;42;50.058;36.101;0.0;86.159;86.159
0;2;43;55.415;41.543;0.0;96.958;96.958
0;2;44;69.777;45.894;0.0;115.671;115.671
0;2;45;45.448;50.287;0.0;95.735;95.735
0;2;46;54.373;0.0;0.0;54.373;54.373
0;2;47;31.334;67.315;0.0;98.649;98.649
0;2;48;5.902;0.0;0.0;5.902;5.902
0;2;49;10.52;0.0;0.0;10.52;10.52
0;2;50;6.83;56.244;0.0;63.074;63.074
0;2;51;7.443;59.436;0.0;66.879;66.879
0;2;52;7.155;60.115;0.0;67.27;67.27
0;2;53;9.966;61.833;0.0;71.799;71.799
0;2;54;14.209;58.12;0.0;72.329;72.329
0;2;55;23.793;67.576;0.0;91.369;91.369
0;2;56;53.032;65.776;0.0;118.808;118.808
0;2;57;40.997;51.569;0.0;92.566;92.566
0;2;58;31.269;47.228;0.0;78.497;78.497
0;2;59;35.193;42.255;0.0;77.449;77.449
0;2;60;19.302;36.82;0.0;56.122;56.122
0;2;61;25.744;29.907;0.0;55.65;55.65
0;2;62;30.948;24.598;0.0;55.546;55.546
0;2;63;36.475;27.177;0.0;63.652;63.652
0;2;64;44.961;35.166;0.0;80.127;80.127
0;2;65;48.003;130.216;0.0;178.218;178.218
0;2;66;43.641;0.0;0.0;43.641;43.641
0;2;67;60.059;48.946;0.0;109.005;109.005
0;2;68;53.821;0.0;0.0;53.821;53.821
0;2;69;61.468;53.397;0.0;114.865;114.865
0;2;70;49.145;0.0;0.0;49.145;49.145
0;2;71;50.233;0.0;0.0;50.233;50.233
0;2;72;5.761;0.0;0.0;5.761;5.761
0;2;73;13.087;45.97;0.0;59.057;59.057
0;2;74;8.188;47.944;0.0;56.131;56.131
0;2;75;8.285;49.345;0.0;57.63;57.63
0;2;76;8.54;50.518;0.0;59.058;59.058
0;2;77;7.499;52.701;0.0;60.201;60.201
0;2;78;12.784;54.142;0.0;66.925;66.925
0;2;79;14.522;71.423;0.0;85.945;85.945
0;2;80;34.425;72.521;0.0;106.946;106.946
0;2;81;30.692;57.843;0.0;88.535;88.535
0;2;82;26.797;54.898;0.0;81.696;81.696
0;2;83;24.793;43.733;0.0;68.526;68.526
0;2;84;39.713;32.563;0.0;72.276;72.276
0;2;85;33.913;26.54;0.0;60.453;60.453
0;2;86;38.512;131.91;0.0;170.422;170.422
0;2;87;35.792;50.112;0.0;85.904;85.904
0;2;88;43.859;26.25;0.0;70.108;70.108
0;2;89;48.915;0.0;0.0;48.915;48.915
0;2;90;40.415;0.0;0.0;40.415;40.415
0;2;91;55.956;0.0;0.0;55.956;55.956
0;2;92;48.883;139.544;0.0;188.427;188.427
0;2;93;47.563;46.666;0.0;94.229;94.229
0;2;94;41.739;0.0;0.0;41.739;41.739
0;2;95;40.801;103.873;0.0;144.674;144.674
0;2;96;5.457;0.0;0.0;5.457;5.457
0;2;97;9.357;6.562;0.0;15.92;15.92
0;2;98;7.953;78.219;0.0;86.172;86.172
0;2;99;7.874;149.743;0.0;157.617;157.617
0;2;100;8.8;106.0;0.0;114.8;114.8
0;2;101;7.209;0.0;0.0;7.209;7.209
0;2;102;10.806;100.367;0.0;111.173;111.173
0;2;103;21.381;103.143;0.0;124.525;124.525
0;2;104;39.216;96.235;0.0;135.45;135.45
0;2;105;49.73;91.373;0.0;141.103;141.103
0;2;106;44.199;83.094;0.0;127.293;127.293
0;2;107;49.396;75.867;0.0;125.263;125.263
0;2;108;32.691;74.931;0.0;107.621;107.621
0;2;109;30.002;126.965;0.0;156.968;156.968
0;2;110;44.449;0.0;0.0;44.449;44.449
0;2;111;46.057;62.418;0.0;108.475;108.475
0;2;112;42.407;63.03;0.0;105.438;105.438
0;2;113;41.342;66.527;0.0;107.869;107.869
0;2;114;46.59;73.204;0.0;119.794;119.794
0;2;115;56.756;77.263;0.0;134.02;134.02
0;2;116;46.71;80.275;0.0;126.985;126.985
0;2;117;35.382;83.558;0.0;118.939;118.939
0;2;118;52.762;76.219;0.0;128.981;128.981
0;2;119;31.993;151.871;0.0;183.864;183.864
0;2;120;5.794;16.155;0.0;21.95;21.95
0;2;121;7.115;155.279;0.0;162.394;162.394
0;2;122;8.998;33.737;0.0;42.735;42.735
0;2;123;14.292;99.238;0.0;113.531;113.531
0;2;124;8.146;101.864;0.0;110.01;110.01
0;2;125;7.547;103.383;0.0;110.929;110.929
0;2;126;12.151;114.929;0.0;127.079;127.079
0;2;127;23.361;109.94;0.0;133.3;133.3
0;2;128;37.291;102.007;0.0;139.299;139.299
0;2;129;34.935;97.85;0.0;132.785;132.785
0;2;130;37.87;92.168;0.0;130.037;130.037
0;2;131;28.028;83.185;0.0;111.212;111.212
0;2;132;24.831;75.118;0.0;99.948;99.948
0;2;133;30.709;61.401;0.0;92.11;92.11
0;2;134;23.165;140.817;0.0;163.982;163.982
0;2;135;35.786;104.685;0.0;140.471;140.471
0;2;136;39.555;0.0;0.0;39.555;39.555
0;2;137;59.133;36.054;0.0;95.187;95.187
0;2;138;54.216;0.0;0.0;54.216;54.216
0;2;139;54.698;148.467;0.0;203.165;203.165
0;2;140;65.542;75.273;0.0;140.816;140.816
0;2;141;47.593;0.0;0.0;47.593;47.593
0;2;142;64.161;153.575;0.0;217.736;217.736
0;2;143;31.621;0.0;0.0;31.621;31.621
0;2;144;7.292;87.726;0.0;95.018;95.018
0;2;145;7.841;90.462;0.0;98.304;98.304
0;2;146;7.641;94.4;0.0;102.041;102.041
0;2;147;8.324;95.938;0.0;104.263;104.263
0;2;148;10.037;98.373;0.0;108.411;108.411
0;2;149;8.417;98.765;0.0;107.182;107.182
0;2;150;15.832;112.966;0.0;128.798;128.798
0;2;151;30.477;112.055;0.0;142.531;142.531
0;2;152;34.531;100.67;0.0;135.2;135.2
0;2;153;41.256;96.686;0.0;137.941;137.941
0;2;154;45.085;90.999;0.0;136.084;136.084
0;2;155;32.229;85.115;0.0;117.343;117.343
0;2;156;30.222;79.162;0.0;109.383;109.383
0;2;157;34.879;64.784;0.0;99.664;99.664
0;2;158;23.821;57.481;0.0;81.303;81.303
0;2;159;27.318;52.429;0.0;79.747;79.747
0;2;160;36.451;49.875;0.0;86.325;86.325
0;2;161;57.554;48.67;0.0;106.224;106.224
0;2;162;51.751;58.078;0.0;109.83;109.83
0;2;163;55.991;59.783;0.0;115.774;115.774
0;2;164;55.087;60.084;0.0;115.171;115.171
0;2;165;50.906;61.431;0.0;112.336;112.336
0;2;166;43.04;98.497;0.0;141.536;141.536
0;2;167;33.183;142.941;0.0;176.123;176.123
0;3;0;6.358;185.663;0.0;192.021;192.021
0;3;1;10.568;186.093;0.0;196.661;196.661
0;3;2;7.835;184.804;0.0;192.639;192.639
0;3;3;8.21;185.233;0.0;193.443;193.443
0;3;4;8.066;185.663;0.0;193.729;193.729
0;3;5;8.171;188.674;0.0;196.845;196.845
0;3;6;15.507;188.674;5.32;209.501;209.501
0;3;7;28.718;188.244;125.994;342.956;342.956
0;3;8;47.044;186.953;81.751;315.749;315.749
0;3;9;35.036;184.804;76.819;296.658;296.658
0;3;10;34.362;182.655;60.128;277.145;277.145
0;3;11;32.364;180.509;35.886;248.759;248.759
0;3;12;30.212;178.792;32.839;241.843;241.843
0;3;13;26.681;176.648;0.0;203.329;203.329
0;3;14;38.72;167.657;0.0;206.377;206.377
0;3;15;34.908;166.802;0.0;201.71;201.71
0;3;16;38.497;168.94;0.0;207.437;207.437
0;3;17;46.901;172.792;0.0;219.693;219.693
0;3;18;57.796;174.077;0.0;231.873;231.873
0;3;19;56.088;177.934;0.0;234.022;234.022
0;3;20;65.558;179.65;0.0;245.209;245.209
0;3;21;43.265;181.367;0.0;224.632;224.632
0;3;22;53.007;182.655;0.0;235.662;235.662
0;3;23;22.314;184.374;0.0;206.687;206.687
0;3;24;5.597;186.093;0.0;191.69;191.69
0;3;25;10.3;188.674;0.0;198.974;198.974
0;3;26;7.307;188.674;0.0;195.981;195.981
0;3;27;9.902;188.674;0.0;198.576;198.576
0;3;28;7.804;189.535;0.0;197.339;197.339
0;3;29;7.388;189.965;0.0;197.353;197.353
0;3;30;8.45;189.535;0.0;197.984;197.984
