Support_Year;Cluster;Timestep;Power_Demand_kW
0;2;114;69.822
0;2;115;67.327
0;2;116;73.727
0;2;117;59.035
0;2;118;64.329
0;2;119;37.669
0;2;120;16.642
0;2;121;24.197
0;2;122;21.166
0;2;123;19.23
0;2;124;18.572
0;2;125;19.618
0;2;126;24.537
0;2;127;61.531
0;2;128;63.792
0;2;129;61.404
0;2;130;47.451
0;2;131;53.709
0;2;132;42.242
0;2;133;63.945
0;2;134;45.994
0;2;135;46.361
0;2;136;42.042
0;2;137;69.168
0;2;138;81.197
0;2;139;93.458
0;2;140;78.981
0;2;141;69.214
0;2;142;63.181
0;2;143;39.6
0;2;144;16.821
0;2;145;18.137
0;2;146;18.381
0;2;147;19.946
0;2;148;18.542
0;2;149;19.36
0;2;150;19.909
0;2;151;55.644
0;2;152;66.119
0;2;153;59.316
0;2;154;63.812
0;2;155;48.366
0;2;156;48.873
0;2;157;54.665
0;2;158;58.686
0;2;159;49.592
0;2;160;65.513
0;2;161;73.734
0;2;162;79.333
0;2;163;71.248
0;2;164;82.687
0;2;165;63.305
0;2;166;64.019
0;2;167;42.924
0;3;0;19.833
0;3;1;23.589
0;3;2;19.446
0;3;3;19.494
0;3;4;19.414
0;3;5;20.603
0;3;6;23.326
0;3;7;61.609
0;3;8;70.265
0;3;9;63.779
0;3;10;52.134
0;3;11;44.439
0;3;12;60.295
0;3;13;49.62
0;3;14;45.51
0;3;15;47.487
0;3;16;60.713
0;3;17;82.349
0;3;18;73.535
0;3;19;78.495
0;3;20;82.184
0;3;21;72.069
0;3;22;57.974
0;3;23;43.124
0;3;24;17.035
0;3;25;25.436
0;3;26;18.063
0;3;27;18.728
0;3;28;19.204
0;3;29;21.563
0;3;30;24.582
0;3;31;49.645
0;3;32;67.647
0;3;33;74.18
0;3;34;53.248
0;3;35;55.277
0;3;36;54.663
0;3;37;46.228
0;3;38;64.734
0;3;39;58.449
0;3;40;77.215
0;3;41;73.501
0;3;42;73.857
0;3;43;80.394
0;3;44;71.189
0;3;45;65.975
0;3;46;65.006
0;3;47;44.16
0;3;48;17.056
0;3;49;23.612
0;3;50;18.913
0;3;51;19.286
0;3;52;18.387
0;3;53;25.311
0;3;54;29.255
0;3;55;52.2
0;3;56;57.796
0;3;57;71.795
0;3;58;53.664
0;3;59;58.962
0;3;60;44.443
0;3;61;43.151
0;3;62;51.519
0;3;63;55.338
0;3;64;76.996
0;3;65;82.681
0;3;66;69.336
0;3;67;68.438
0;3;68;85.99
0;3;69;56.64
0;3;70;61.653
0;3;71;46.291
0;3;72;17.341
0;3;73;20.941
0;3;74;19.578
0;3;75;18.538
0;3;76;19.418
0;3;77;20.08
0;3;78;19.544
0;3;79;29.436
0;3;80;33.248
0;3;81;39.941
0;3;82;43.794
0;3;83;48.939
0;3;84;37.401
0;3;85;33.178
0;3;86;39.063
0;3;87;40.576
0;3;88;49.96
0;3;89;48.384
0;3;90;57.49
0;3;91;68.944
0;3;92;88.446
0;3;93;75.65
0;3;94;51.511
0;3;95;54.673
0;3;96;16.808
0;3;97;24.204
0;3;98;18.725
0;3;99;19.992
0;3;100;18.46
0;3;101;19.349
0;3;102;20.25
0;3;103;49.278
0;3;104;63.069
0;3;105;77.869
0;3;106;84.303
0;3;107;78.152
0;3;108;79.822
0;3;109;70.516
0;3;110;88.041
0;3;111;72.666
0;3;112;75.761
0;3;113;77.309
0;3;114;70.677
0;3;115;90.288
0;3;116;74.175
0;3;117;68.176
0;3;118;66.156
0;3;119;47.439
0;3;120;17.436
0;3;121;22.701
0;3;122;19.235
0;3;123;18.923
0;3;124;18.225
0;3;125;19.209
0;3;126;21.872
0;3;127;55.171
0;3;128;70.235
0;3;129;72.251
0;3;130;63.975
0;3;131;69.482
0;3;132;52.176
0;3;133;48.244
0;3;134;71.341
0;3;135;66.665
0;3;136;71.989
0;3;137;68.675
0;3;138;75.726
0;3;139;85.687
0;3;140;67.531
0;3;141;62.729
0;3;142;69.766
0;3;143;38.321
0;3;144;19.412
0;3;145;19.466
0;3;146;18.844
0;3;147;20.297
0;3;148;19.021
0;3;149;21.432
0;3;150;28.428
0;3;151;59.692
0;3;152;78.905
0;3;153;68.233
0;3;154;53.187
