Support_Year;Cluster;Timestep;Power_Demand_kW
0;2;89;188.991
0;2;90;246.874
0;2;91;271.061
0;2;92;279.702
0;2;93;259.893
0;2;94;249.193
0;2;95;215.152
0;2;96;182.967
0;2;97;190.402
0;2;98;192.169
0;2;99;186.723
0;2;100;189.71
0;2;101;188.691
0;2;102;199.38
0;2;103;571.577
0;2;104;441.16
0;2;105;463.001
0;2;106;487.15
0;2;107;473.758
0;2;108;462.103
0;2;109;456.6
0;2;110;487.311
0;2;111;463.143
0;2;112;443.655
0;2;113;435.52
0;2;114;563.873
0;2;115;578.282
0;2;116;430.955
0;2;117;276.171
0;2;118;235.018
0;2;119;221.238
0;2;120;187.433
0;2;121;189.413
0;2;122;190.087
0;2;123;190.99
0;2;124;188.031
0;2;125;190.988
0;2;126;194.512
0;2;127;603.319
0;2;128;501.818
0;2;129;460.343
0;2;130;487.781
0;2;131;463.003
0;2;132;462.33
0;2;133;459.124
0;2;134;484.664
0;2;135;465.754
0;2;136;451.765
0;2;137;495.912
0;2;138;567.176
0;2;139;577.005
0;2;140;450.459
0;2;141;262.853
0;2;142;257.102
0;2;143;227.232
0;2;144;186.827
0;2;145;190.628
0;2;146;189.983
0;2;147;190.825
0;2;148;190.114
0;2;149;194.505
0;2;150;203.755
0;2;151;597.08
0;2;152;627.137
0;2;153;550.966
0;2;154;575.192
0;2;155;489.266
0;2;156;456.025
0;2;157;471.013
0;2;158;484.482
0;2;159;495.749
0;2;160;602.386
0;2;161;632.332
0;2;162;570.987
0;2;163;581.894
0;2;164;453.659
0;2;165;262.126
0;2;166;248.752
0;2;167;226.302
0;3;0;189.959
0;3;1;196.952
0;3;2;192.091
0;3;3;190.509
0;3;4;193.351
0;3;5;189.14
0;3;6;197.719
0;3;7;620.043
0;3;8;663.352
0;3;9;660.216
0;3;10;555.049
0;3;11;512.436
0;3;12;464.544
0;3;13;474.264
0;3;14;481.196
0;3;15;477.66
0;3;16;653.28
0;3;17;657.814
0;3;18;581.099
0;3;19;601.039
0;3;20;446.584
0;3;21;262.86
0;3;22;263.036
0;3;23;221.593
0;3;24;186.964
0;3;25;189.06
0;3;26;192.024
0;3;27;191.041
0;3;28;191.207
0;3;29;190.906
0;3;30;196.618
0;3;31;613.772
0;3;32;678.452
0;3;33;663.127
0;3;34;503.129
0;3;35;483.867
0;3;36;453.756
0;3;37;460.91
0;3;38;621.14
0;3;39;671.685
0;3;40;678.016
0;3;41;644.832
0;3;42;570.145
0;3;43;602.108
0;3;44;440.881
0;3;45;260.013
0;3;46;247.407
0;3;47;219.948
0;3;48;188.511
0;3;49;194.344
0;3;50;189.918
0;3;51;188.344
0;3;52;193.885
0;3;53;191.485
0;3;54;202.132
0;3;55;551.165
0;3;56;585.623
0;3;57;572.454
0;3;58;549.448
0;3;59;551.679
0;3;60;426.163
0;3;61;408.044
0;3;62;429.965
0;3;63;480.103
0;3;64;591.445
0;3;65;586.388
0;3;66;585.56
0;3;67;594.233
0;3;68;442.725
0;3;69;260.529
0;3;70;244.037
0;3;71;215.424
0;3;72;189.572
0;3;73;193.206
0;3;74;192.001
0;3;75;191.419
0;3;76;189.647
0;3;77;192.817
0;3;78;195.867
0;3;79;209.479
0;3;80;229.768
0;3;81;240.213
0;3;82;256.808
0;3;83;258.763
0;3;84;215.771
0;3;85;191.575
0;3;86;202.229
0;3;87;195.993
0;3;88;247.247
0;3;89;263.039
0;3;90;246.84
0;3;91;288.707
0;3;92;284.864
0;3;93;261.328
0;3;94;246.454
0;3;95;227.403
0;3;96;188.93
0;3;97;192.11
0;3;98;188.907
0;3;99;192.578
0;3;100;189.077
0;3;101;193.784
0;3;102;199.789
0;3;103;614.325
0;3;104;660.572
0;3;105;700.339
0;3;106;712.421
0;3;107;688.073
0;3;108;618.291
0;3;109;590.653
0;3;110;675.203
0;3;111;697.23
0;3;112;695.528
0;3;113;647.276
0;3;114;579.546
0;3;115;598.139
0;3;116;448.182
0;3;117;262.951
0;3;118;248.261
0;3;119;237.804
0;3;120;188.901
0;3;121;189.195
0;3;122;186.632
0;3;123;190.97
0;3;124;185.894
