Support_Year;Cluster;Timestep;HP;EB
0;3;94;1118.152;0.0
0;3;95;1118.152;0.0
0;3;96;1118.152;0.0
0;3;97;1118.152;0.0
0;3;98;1118.152;0.0
0;3;99;1118.152;0.0
0;3;100;1118.152;0.0
0;3;101;1118.152;258.136
0;3;102;1118.152;258.136
0;3;103;1118.152;258.136
0;3;104;1118.152;258.136
0;3;105;1118.152;258.136
0;3;106;1118.152;258.136
0;3;107;1118.152;258.136
0;3;108;1118.152;258.136
0;3;109;1118.152;258.136
0;3;110;1118.152;258.136
0;3;111;1118.152;258.136
0;3;112;1118.152;258.136
0;3;113;1118.152;258.136
0;3;114;1118.152;258.136
0;3;115;1118.152;258.136
0;3;116;1118.152;258.136
0;3;117;1118.152;258.136
0;3;118;1118.152;258.136
0;3;119;1118.152;258.136
0;3;120;1118.152;258.136
0;3;121;1118.152;258.136
0;3;122;1118.152;258.136
0;3;123;1118.152;258.136
0;3;124;1118.152;258.136
0;3;125;1118.152;258.136
0;3;126;1118.152;258.136
0;3;127;1118.152;227.45
0;3;128;1118.152;144.061
0;3;129;1118.152;113.886
0;3;130;1118.152;27.157
0;3;131;1118.152;0.0
0;3;132;1118.152;0.0
0;3;133;1118.152;0.0
0;3;134;1118.152;0.0
0;3;135;1118.152;0.0
0;3;136;1118.152;0.0
0;3;137;1118.152;0.0
0;3;138;1118.152;0.0
0;3;139;1118.152;0.0
0;3;140;1118.152;0.0
0;3;141;1118.152;0.0
0;3;142;1118.152;0.0
0;3;143;1118.152;0.0
0;3;144;1118.152;188.515
0;3;145;1118.152;244.993
0;3;146;1118.152;258.136
0;3;147;1118.152;258.136
0;3;148;1118.152;258.136
0;3;149;1118.152;258.136
0;3;150;1118.152;258.136
0;3;151;1118.152;116.641
0;3;152;1118.152;36.71
0;3;153;1039.072;0.0
0;3;154;1003.697;0.0
0;3;155;911.3;0.0
0;3;156;860.834;0.0
0;3;157;1118.152;0.0
0;3;158;506.712;0.0
0;3;159;830.592;0.0
0;3;160;820.953;0.0
0;3;161;805.702;0.0
0;3;162;1054.951;0.0
0;3;163;1118.152;0.0
0;3;164;1118.152;0.0
0;3;165;1118.152;0.0
0;3;166;1118.152;0.0
0;3;167;1118.152;0.0
5;0;0;0.0;0.0
5;0;1;901.477;0.0
5;0;2;0.0;0.0
5;0;3;774.668;0.0
5;0;4;795.624;0.0
5;0;5;815.277;0.0
5;0;6;863.665;0.0
5;0;7;726.847;0.0
5;0;8;659.442;0.0
5;0;9;1118.152;0.0
5;0;10;1118.152;0.0
5;0;11;975.084;0.0
5;0;12;1118.152;0.0
5;0;13;87.348;0.0
5;0;14;0.0;0.0
5;0;15;1118.152;0.0
5;0;16;658.642;0.0
5;0;17;0.0;0.0
5;0;18;833.613;0.0
5;0;19;0.0;0.0
5;0;20;0.0;0.0
5;0;21;1118.152;0.0
5;0;22;1118.152;0.0
5;0;23;1118.152;0.0
5;0;24;0.0;0.0
5;0;25;0.0;0.0
5;0;26;0.0;0.0
5;0;27;1118.152;0.0
5;0;28;1118.152;0.0
5;0;29;1118.152;0.0
5;0;30;54.05;0.0
5;0;31;802.154;0.0
5;0;32;727.475;0.0
5;0;33;1118.152;0.0
5;0;34;1118.152;0.0
5;0;35;1118.152;0.0
5;0;36;1118.152;0.0
5;0;37;1118.152;0.0
5;0;38;1118.152;0.0
5;0;39;1118.152;0.0
5;0;40;1118.152;0.0
5;0;41;0.0;0.0
5;0;42;1118.152;0.0
5;0;43;133.221;0.0
5;0;44;0.0;0.0
5;0;45;0.0;0.0
5;0;46;0.0;0.0
5;0;47;0.0;0.0
5;0;48;0.0;0.0
5;0;49;0.0;0.0
5;0;50;0.0;0.0
5;0;51;0.0;0.0
5;0;52;0.0;0.0
5;0;53;0.0;0.0
5;0;54;284.949;0.0
5;0;55;360.158;0.0
5;0;56;357.644;0.0
5;0;57;550.189;0.0
5;0;58;1118.152;0.0
5;0;59;1118.152;0.0
5;0;60;1118.152;0.0
5;0;61;0.0;0.0
5;0;62;0.0;0.0
5;0;63;1118.152;0.0
5;0;64;1118.152;0.0
5;0;65;0.0;0.0
5;0;66;0.0;0.0
5;0;67;0.0;0.0
5;0;68;416.096;0.0
5;0;69;1118.152;0.0
5;0;70;1118.152;0.0
5;0;71;0.0;0.0
5;0;72;0.0;0.0
5;0;73;0.0;0.0
5;0;74;0.0;0.0
5;0;75;0.0;0.0
5;0;76;0.0;0.0
5;0;77;0.0;0.0
5;0;78;0.0;0.0
5;0;79;0.0;0.0
5;0;80;0.0;0.0
