Support_Year;Cluster;Timestep;Heat_Demand_kW
0;2;128;0.771
0;2;129;1.015
0;2;130;0.771
0;2;131;0.771
0;2;132;2.223
0;2;133;0.772
0;2;134;0.772
0;2;135;1.146
0;2;136;1.086
0;2;137;0.772
0;2;138;0.982
0;2;139;0.772
0;2;140;1.036
0;2;141;0.989
0;2;142;0.772
0;2;143;0.772
0;2;144;1.03
0;2;145;0.773
0;2;146;0.773
0;2;147;0.773
0;2;148;0.773
0;2;149;0.773
0;2;150;1.986
0;2;151;1.631
0;2;152;1.145
0;2;153;1.426
0;2;154;0.773
0;2;155;1.008
0;2;156;1.373
0;2;157;0.774
0;2;158;0.774
0;2;159;1.115
0;2;160;1.082
0;2;161;0.948
0;2;162;1.052
0;2;163;1.009
0;2;164;0.774
0;2;165;1.3
0;2;166;0.774
0;2;167;0.774
0;3;0;4.583
0;3;1;4.569
0;3;2;4.78
0;3;3;4.984
0;3;4;5.176
0;3;5;5.351
0;3;6;6.088
0;3;7;5.942
0;3;8;5.055
0;3;9;4.927
0;3;10;4.654
0;3;11;4.145
0;3;12;2.864
0;3;13;2.218
0;3;14;1.764
0;3;15;1.482
0;3;16;1.364
0;3;17;1.749
0;3;18;1.631
0;3;19;1.459
0;3;20;1.725
0;3;21;2.503
0;3;22;2.255
0;3;23;2.603
0;3;24;3.084
0;3;25;2.802
0;3;26;3.737
0;3;27;4.038
0;3;28;4.321
0;3;29;4.631
0;3;30;5.371
0;3;31;5.585
0;3;32;5.22
0;3;33;3.928
0;3;34;3.677
0;3;35;3.311
0;3;36;2.043
0;3;37;1.214
0;3;38;1.112
0;3;39;1.083
0;3;40;0.815
0;3;41;1.228
0;3;42;1.847
0;3;43;1.493
0;3;44;1.173
0;3;45;1.24
0;3;46;0.869
0;3;47;1.048
0;3;48;1.504
0;3;49;1.415
0;3;50;1.876
0;3;51;2.071
0;3;52;2.246
0;3;53;2.388
0;3;54;2.496
0;3;55;2.92
0;3;56;3.677
0;3;57;2.733
0;3;58;2.203
0;3;59;1.475
0;3;60;1.308
0;3;61;1.631
0;3;62;1.461
0;3;63;1.478
0;3;64;2.7
0;3;65;0.834
0;3;66;1.38
0;3;67;0.848
0;3;68;1.763
0;3;69;1.438
0;3;70;0.858
0;3;71;1.788
0;3;72;1.969
0;3;73;2.213
0;3;74;2.527
0;3;75;2.764
0;3;76;2.978
0;3;77;3.248
0;3;78;3.428
0;3;79;5.31
0;3;80;4.225
0;3;81;3.445
0;3;82;3.415
0;3;83;3.184
0;3;84;2.899
0;3;85;2.823
0;3;86;2.126
0;3;87;1.914
0;3;88;2.414
0;3;89;1.105
0;3;90;1.455
0;3;91;2.176
0;3;92;3.161
0;3;93;2.787
0;3;94;3.465
0;3;95;2.879
0;3;96;3.273
0;3;97;3.511
0;3;98;3.774
0;3;99;4.04
0;3;100;4.572
0;3;101;4.429
0;3;102;5.508
0;3;103;4.818
0;3;104;5.948
0;3;105;4.5
0;3;106;3.993
0;3;107;3.295
0;3;108;2.897
0;3;109;2.243
0;3;110;1.695
0;3;111;0.949
0;3;112;1.556
0;3;113;1.761
0;3;114;1.56
0;3;115;2.016
0;3;116;2.424
0;3;117;2.964
0;3;118;2.094
0;3;119;2.29
0;3;120;2.41
0;3;121;2.483
0;3;122;2.599
0;3;123;2.992
0;3;124;2.807
0;3;125;2.911
0;3;126;4.041
0;3;127;4.08
0;3;128;2.559
0;3;129;2.791
0;3;130;2.611
0;3;131;2.048
0;3;132;2.259
0;3;133;1.829
0;3;134;1.511
0;3;135;0.828
0;3;136;1.251
0;3;137;1.156
0;3;138;1.382
0;3;139;1.036
0;3;140;1.511
0;3;141;0.839
0;3;142;0.845
0;3;143;0.855
0;3;144;1.197
0;3;145;1.7
0;3;146;1.759
0;3;147;2.097
0;3;148;2.363
0;3;149;2.559
0;3;150;2.997
0;3;151;2.823
0;3;152;3.12
0;3;153;3.032
0;3;154;2.708
0;3;155;3.338
0;3;156;3.78
0;3;157;2.682
0;3;158;2.308
0;3;159;2.099
0;3;160;1.859
0;3;161;1.303
0;3;162;2.621
0;3;163;3.364
0;3;164;2.608
0;3;165;2.22
0;3;166;2.384
0;3;167;2.431
