DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
1,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
1,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
1,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
1,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
1,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
1,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
1,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
1,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
1,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
1,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
1,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
1,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
2,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
2,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
2,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
2,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
2,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
2,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
2,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
2,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
2,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
2,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
2,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
2,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
3,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
3,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
3,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
3,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
3,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
3,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
3,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
3,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
3,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
3,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
3,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
3,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
4,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
4,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
4,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
4,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
4,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
4,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
4,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
4,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
4,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
4,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
4,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
4,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
5,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
5,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
5,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
5,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
5,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
5,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
5,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
5,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
5,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
5,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
5,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
5,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
6,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
6,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
6,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
6,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
6,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
6,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
6,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
6,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
6,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
6,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
6,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
6,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
